"# of Use","# počet použití"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Prosím buďte opatrní, ako raz kliknete na riadok, budú načítané dáta z vybraného súboru, všetky neuložené dáta sa stratia."
"Please click on the Close Window button if it is not closed automatically.","Prosím kliknite na X (zavrieť), ak sa okno nezavrie automaticky."
"Please enter a new group name","Zadajte nové meno skupiny"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Prosím obnovte ""Katalóg URL Rewrites"" ""a"" ""Vlastnosti produktu"" ""v Systém -> <a href=""""%s""""> Správa indexov </a>"""
"Please select a static block ...","Vyberte prosím statický blok ..."
"Please select items.","Označte položky."
"Please select one or more attributes.","Označte jednu alebo viac vlastností."
"Please select product(s).","Označte produkt/produkty."
"Please select products for attributes update","Označte produkty pre upravenie vlastností"
"Please specify date required option(s).","Prosím špecifikujte požadované vlastnosti dáta."
"Please specify the product required option(s)","Prosím zadajte požadované možnosť(i) produktu"
"Please specify the product required option(s).","Prosím zadajte požadované možnosť(i) produktu."
"Please specify the product's option(s).","Prosíme zadajte odtieň produktu."
"Please specify the product's required option(s).","Prosím špecifikujte požadované možnosti produktu."
"Please specify the quantity of product(s).","Prosím špecifikujte množstvo produktov."
"Please specify time required option(s).","Prosím špecifikujte čas požadovaných vlastností."
"Please wait...","Prosím čakajte..."
"Position","Pozícia"
"Position in Layered Navigation","Umiestnenie vo vrstve navigácia"
"Position of attribute in layered navigation block","Umiestnenie atribútu vo vrstve navigačného bloku"
"Prev","Predchádzajúci"
"Price","Cena"
"Price Navigation Step Calculation",""
"Price Type","Typ ceny"
"Price is not available","Cena nie je dostupná"
"Price values for options should be specified in system base currency.","Nastavenie hodnoty ceny môže byť špecifikované v systéme vo východiskovej mene."
"Price:","Cena:"
"Price: %s","Cena: %s"
"Print This Page","Vytlačiť túto stránku"
"Product","Produkt"
"Product API","Produkt API"
"Product Alerts","Výstrahy pre produkt"
"Product Attribute","Vlastnosť produktu"
"Product Attributes","Vlastnosti produktu"
"Product Categories","Kategórie produktu"
"Product Description","Popis produktu"
"Product Extra Info","Extra informácie pre produkt"
"Product Flat Data","Zlúčiť dáta produktov"
"Product ID","Produkt ID"
"Product Image Placeholders","Náhrada obrázkov produktu"
"Product Image Watermarks","Vodoznak obrázkov produktu"
"Product Images","Obrázky produktov"
"Product Images API","API obrázkov produktov"
"Product In Websites","Produkt na webových stránkách"
"Product Info Column","Informačný stĺpec produktu"
"Product Information","Informácie o produkte"
"Product Link Block Template","Šablóna bloku odkazov na produkty"
"Product Link Inline Template","Šablóna vnorených odkazov na produkty"
"Product Listing Sort by","Výpis produktov radiť podľa"
"Product Name","Názov produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Recenzie produktov"
"Product Tags","Štítky produktu"
"Product Tier Price API","API zliav produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Pridať na koniec URL produktu"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","API množiny vlastností produktu"
"Product attributes API","API vlastností produktu"
"Product collection expected.","Bola očakávaná kolekcia produktov."
"Product is not loaded","Produkt nie je načítaný"
"Product links API (related, cross sells, up sells)","Odkazy API produktov (zodpovedajúci, cross Sells, up Sells)"
"Product name","Názov produktu"
"Product types API","API typu produktu"
"Product with this combination of attributes already associated to configurable.","Produkt s kombináciou týchto vlastností už je asociovaný s konfigurovateľnými."
"Products","Produkty"
"Products Comparison List","Zoznam porovnávaných produktov"
"Products Information","Informácie o produkte"
"Products Reviews","Recenzie produktov"
"Products Sitemap","Mapa produktov"
"Products only","Iba produkty"
"Products per Page on Grid Allowed Values","Povolené hodnoty pre tabuľku produktov na stránku"
"Products per Page on Grid Default Value","Predvolená hodnota pre počet produktov na stránke pre tabuľku"
"Products per Page on List Allowed Values","Povolené hodnoty pre zoznam produktov na stránku"
"Products per Page on List Default Value","Predvolená hodnota pre počet produktov na stránke pre zoznam"
"Properties","Vlastnosti"
"Qty","Množstvo"
"Qty Increments","Množstvo prírastkov"
"Qty Uses Decimals","Množstvo používa desatiny"
"Qty for Item's Status to become Out of Stock","Minimálne množstvo pre stav Vypredané"
"Qty:","Množstvo:"
"Quantity","Množstvo"
"Quick Create","Rýchle vytvorenie"
"Quick Overview","Rýchly prehľad"
"Quick simple product creation","Rýchle vytvorenie jednoduchého produktu"
"Records for ""","Záznamy pre """
"Redirect","Presmerovanie"
"Redirect URL","Presmerovanie URL"
"Regular Price:","Bežná cena:"
"Related Products","Súvisiace produkty"
"Remove","Odstrániť"
"Remove Product From Websites","Odstrániť produkt zo stránok"
"Remove This Item","Odstrániť túto položku"
"Remove product assignment","Odstrániť priradenie produktu"
"Remove product image","Odstrániť obrázok produktu"
"Remove product link","Odstrániť odkaz produktu"
"Reorganize EAV category structure to flat structure","Preorganizovať štruktúru EAV kategórie na štruktúru flat (zlúčené)"
"Reorganize EAV product structure to flat structure","Preorganizovať štruktúru EAV produktov na štruktúru flat (zlúčené)"
"Reset","Vynulovať"
"Results","Výsledky"
"Retrieve attribute data","Načítať dáta atribútov"
"Retrieve attribute list","Získať Zoznam vlastností"
"Retrieve attribute options","Získať možnosti vlastností"
"Retrieve categories tree","Získať strom kategórií"
"Retrieve category attributes","Získať vlastnosti kategórie"
"Retrieve category data","Získať dáta kategórie"
"Retrieve hierarchical tree","Získať hierarchický strom"
"Retrieve linked products","Získať Odkazy produktov"
"Retrieve list of assigned products","Získať zoznam priradených produktov"
"Retrieve one level of categories by website/store view/parent category","Získať jednu vrtstvu z kategórií zo stránok/obchodu pohľad/rodičovská kategória"
"Retrieve product","Načítať produkt"
"Retrieve product attribute sets","Načítať množinu vlastností produktu"
"Retrieve product image","Načítať obrázok produktu"
"Retrieve product image list","Načítať zoznam obrázkov produktu"
"Retrieve product image types","Načítať typ obrázka produktu"
"Retrieve product link type attributes","Načítať typy vlastností odkazu produktov"
"Retrieve product link types","Načítať typ odkazu produktu"
"Retrieve product tier prices","Načítať zľavy produktu"
"Retrieve product types","Načítať typy produktu"
"Retrieve products data","Načítať dáta produktu"
"Retrieve products list by filters","Načítať zoznam filtrovaných produktov"
"Reviews","Recenzie"
"Roll Over for preview","Otočiť pre náhľad"
"Root","Koreň"
"SKU","SKU"
"SKU length should be %s characters maximum.","Dĺžka SKU môže byť maximálne %s znakov."
"Save","Uložiť"
"Save Attribute","Uložiť vlastnosť"
"Save Attribute Set","Uložiť množinu vlastností"
"Save Category","Uložiť kategóriu"
"Save Search","Uložiť hľadanie"
"Save and Continue Edit","Uložiť a pokračovat v úpravách"
"Saved %d record(s)","Uložené záznamov: %d"
"Scope","Rozsah"
"Scope must not be changed, because the attribute is used in configurable products.","Rozsah nesmie byť zmenený, pretože atribút sa používa v konfigurovateľných produktoch."
"Search","Vyhľadávanie"
"Search Engine Optimizations","Optimalizácia pre vyhľadávanie"
"Search Information","Informácie o vyhľadávaní"
"Search Query","Hľadaný výraz"
"Search Term with such search query already exists.","Hľadaný výraz s týmto dotazom už existuje."
"Searchable","Prehľadávateľný"
"See price before order confirmation.","Skontrolujte cenu pred potvrdením objednávky."
"Select Category...","Vybrať kategóriu ..."
"Select Configurable Attributes ","Vybrať nastaviteľné vlastnosti "
"Select Product...","Vybrať produkt ..."
"Select type of option","Vyberte typ možnosti"
"Select type options required values rows.","Vyberte požadované hodnoty riadkov."
"Selected Product Types","Vybrané typy produktov"
"Selected configuration is not available.","Vybraná konfigurácia nie je dostupná."
"Send Count","Odoslať množstvo"
"Set Ascending Direction","Nastaviť vzostupne"
"Set Descending Direction","Nastaviť zostupne"
"Set Name","Nastaviť meno"
"Set Root Category for Store","Nastaviť hlavnú kategórii pre obchod"
"Set root category for this store in the <a href=""%s"">configuration</a>","Nastavte hlavnú kategóriu pre tento obchod v <a href=""%s""> nastaveniach</a>"
"Set special price","Nastaviť špeciálnu cenu"
"Set/Get current store view","Nastaviť/získať pohľad aktuálneho obchodu"
"Settings","Nastavenia"
"Shop By","Nakupovať podľa"
"Shopping Options","Nákupné voľby"
"Show","Zobraziť"
"Show Details","Zobraziť detaily"
"Show Tags","Ukázať štítky"
"Simple Product","Jednoduchý produkt"
"Site Map","Mapa stránok"
"Sitemap","Mapa stránok"
"Skip import row, required field ""%s"" for the new customer is not defined.","Preskakujem import riadkov, vyžadované pole ""%s"" pre nového zákazníka nie je definované."
"Skipping import row, required field ""%s"" is not defined.","Preskočený import riadkov, požadované pole ""%s"" nie sú definované."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Preskakujem import riadkov, hodnota ""%s"" je chybná pre pole ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Niektoré zo spracovaných produktov nemajú definovanú SKU. Prosím vyplňte ho pred vykonaním operácie."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Niektorý z produktov uvedených nižšie neobsahuje všetky požadované položky. Prosím upravte ich a vyplňte všetky požadovane vlastnosti."
"Sort By","Zoradiť podľa"
"Sort Order","Poradie objednávok"
"Source Model","Zdrojový model"
"Special Expires On: %s","Akciová cena končí: %s"
"Special Price:","Špeciálna cena:"
"Special Price: %s","Akciová cena: %s"
"Starting at:","Začať v:"
"Static","Statický"
"Static block and products","Statický blok a produkty"
"Static block only","Len statické bloky"
"Status","Stav"
"Stock Availability","Skladová dostupnosť"
"Store","Obchod"
"Store View","Obchod Pohľad"
"Stretch","Natiahnuť"
"Subscribe to RSS Feed","Odoberať RSS zdroj"
"Super product attributes configuration","Konfigurácia vlastností superproduktov"
"Synonym For","Synonyma pre"
"System Properties","Vlastnosti systému"
"Tag Name","Meno štítku"
"Tax","Daň"
"Template","Šablóna"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Modul flat katalógu má limit %2$d filtrovatelných a/alebo triediacich vlastností. Momentálne je %1$d. Prosím zredukujte počet filtrovatelných/triediacich vlastností v objednávke pre možné použitie tohto modulu."
"The attribute model is not defined","Vlastnosť modelu nie je definovaná"
"The attribute set has been saved.","Množina vlastností bola úspešne uložená."
"The base directory to upload file is not specified.","Nie je špecifikovaný predvolený adresár pre nahrávanie súborov."
"The category has been deleted.","Kategória zmazaná."
"The category has been saved.","Kategória uložená."
"The comparison list was cleared.","Zoznam porovnaní bol úspešne vyčistený."
"The file you uploaded is larger than %s Megabytes allowed by server","Súbor ktorý nahrávate je väčší než povolená hodnota na Vašom servery(%s MB)"
"The filters must be an array.","Filtre musia byť v poli."
"The image contents is not valid base64 data.","Obsah obrázku nemá platné dáta base64."
"The image is not specified.","Obrázok nie je špecifikovaný."
"The model collection resource name is not defined.","Názov pre model nie je definovaný."
"The product %s has been added to comparison list.","Produkt %s bol úspešne pridaný k porovnaniu."
"The product %s has been removed from comparison list.","Vlastnosť produktu bola úspešne zmazaná."
"The product attribute has been deleted.","Vlastnosť produktu bola úspešne uložená."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","Produkt bol úspešne vytvorený."
"The product has been deleted.","Produkt bol zmazaný."
"The product has been duplicated.","Produkt bol duplikovaný."
"The product has been saved.","Produkt bol úspešne uložený."
"The product has required options","Produkt má vyžadované nastavenia."
"The review has been deleted","Recenzie úspešne zmazané."
"The review has been saved.","Recenzie úspešne uložené."
"The review was removed by another user or does not exist.","Recenzie bola odstránená iným užívateľom alebo neexistuje."
"The search was deleted.","Vyhľadávanie bolo úspešne vymazané."
"The text is too long","Dĺžka textu je príliš dlhá"
"There are no %s available.","%s nie je k dispozícii."
"There are no customers for this alert","Nie sú zákazníci pre toto varovanie"
"There are no customers for this alert.","Nie sú zákazníci pre toto varovanie."
"There are no products matching the selection.","Výberu nezodpovedá žiadna položka."
"There was an error while request processing.","Došlo k chybe počas spracovania požiadavky."
"This Attribute no longer exists","Táto vlastnosť už neexistuje"
"This attribute cannot be deleted.","Táto vlastnosť nemôže byť zmazaná."
"This attribute cannot be edited.","Táto vlastnosť nemôže byť upravovaná."
"This attribute cannot be updated.","Táto vlastnosť nemôže byť aktualizovaná."
"This attribute is used in configurable products.","Táto vlastnosť je používaná v konfigurovateľných produktoch."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Táto skupina obsahuje vlastnosti používané v konfigurovateľnom produkte, nemožno ju preto odstrániť z množiny vlastností."
"This attribute no longer exists","Táto vlastnosť už neexistuje"
"This attribute set no longer exists.","Množina vlastností už neexistuje."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Táto skupina obsahuje vlastnosti používané v konfigurovateľnom produkte. Presuňte tieto vlastnosti do inej skupiny a skúste to znova."
"This group contains system attributes. Please move system attributes to another group and try again.","Táto skupina obsahuje systémové vlastnosti. Presuňte systémové vlastnosti do inej skupiny a skúste to znova."
"This is a required option","Toto je vyžadovaná vlastnosť"
"This product no longer exists.","Tento produkt už neexistuje."
"This search no longer exists.","Toto vyhľadávanie už neexistuje."
"Tier Pricing","Množstevná zľava"
"Tile","Tile"
"Time Format","Formát času"
"Title","Nadpis"
"To reindex the enabled product(s), the store or product must be specified","Na preindexovanie povolených produktov musíte špecifikovať obchod alebo produkt."
"To see product price, add this item to your cart. You can always remove it later.","Chcete zistiť cenu tohto produktu, pridajte ho do košíka. Produkt môžete neskôr odstrániť."
"Top/Left","Hore/Vľavo"
"Top/Right","Hore/Vpravo"
"Total Qty Base Items","Celkový počet položiek základu"
"Total incl. Tax: %1$s","Celkom s daňou: %1$s"
"Total of %d record(s) have been deleted.","Celkom úspešne odstránených záznamov: %d."
"Total of %d record(s) have been updated.","Celkom úspešne uložených záznamov: %d."
"Type","Typ"
"URL Rewrite Management","Správa URL Rewrite"
"Unable to complete this request.","Nemožno dokončiť požiadavku, skúste to prosím neskôr."
"Unable to find a search term to delete.","Nenájdený hľadaný výraz k zmazaniu."
"Unable to find an attribute to delete.","Nenájdená vlastnosť k zmazaniu."
"Unable to get the product ID.","Nemožno získať ID produktu."
"Unassigned Attributes","Nepriradené vlastnosti"
"Unknown EAV indexer type ""%s"".","Neznámy typ indexu EAV ""%s""."
"Unknown attribute: %s.","Neznáma vlastnosť: %s."
"Unsupported product type ""%s"".","Nepodporovaný typ produktu ""%s""."
"Up-sells","Doporučiť(Up-sells)"
"Update","Aktualizovať"
"Update Attributes","Aktualizovať vlastnosti"
"Update Tier Price","Aktualizovať zľavy produktu"
"Update assigned product","Aktualizovať priradené produkty"
"Update attributes","Aktualizovať vlastnosti"
"Update category","Aktualizovať kategóriu"
"Update product","Aktualizovať produkt"
"Update product image","Aktualizovať obrázok produktu"
"Update product link","Aktualizovať odkaz produktu"
"Update product tier prices","Aktualizovať zľavy produktu"
"Upload new product image ","Nahrať nový obrázok k produktu "
"Url Rewrite Management","Správa URL Rewrite"
"Use Canonical Link Meta Tag For Categories","Použiť Canonical Link Meta Tag pre kategórie"
"Use Canonical Link Meta Tag For Products","Použiť Canonical Link Meta Tag pre produkty"
"Use Categories Path for Product URLs","Použiť cestu kategórií pre URL produktu"
"Use Config Settings","Použiť nastavenia konfigurácie"
"Use Default Value","Použiť predvolenú hodnotu"
"Use Flat Catalog Category","Použiť Flat katalóg kategórie"
"Use Flat Catalog Product","Použiť Flat katalóg produktu"
"Use In Layered Navigation","Použiť vo vrstvách navigácie"
"Use In Search Results Layered Navigation","Použiť vo vrstvách navigáciu vyhľadávania"
"Use JavaScript Calendar","Použiť JavaScript kalendár"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Použiť statické URL pre mediálny obsah vo WYSIWYG editore pre katalóg"
"Use To Create Configurable Product","Použiť pre vytvorenie konfigurovateľného produktu"
"Use Tree Like Category Sitemap","Použiť stromovú štruktúru mapy stránok kategórií"
"Use config","Použiť nastavania"
"Use default","Použiť predvolené"
"Use for Promo Rule Conditions","Použiť pre pravidlá cien"
"Use four-digit year format.","Použiť 4 číselný formát roka."
"Use in Advanced Search","Použiť v rozšírenom hľadaní"
"Use in Layered Navigation","Použiť vo vrstvách navigácie"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Použiť vo vrstvách navigácie<br/>(môže byť použité iba so vstupom typu Dropdown - 'Rozbaľovacie menu')"
"Use in Quick Search","Použiť v rýchlom hľadaní"
"Used for Sorting in Product Listing","Použíté na triedenie pri výpise produktov"
"Used in Product Listing","Použité v zozname produktov"
"Value for ""%s"" is invalid.","Hodnota pre ""%s"" je neplatná."
"Value for ""%s"" is invalid: %s","Hodnota pre ""%s"" je neplatná: %s"
"Varchar","Varchar"
"View as","Zobraziť ako"
"Virtual Product","Virtuálný produkt"
"Visibility","Viditelnosť"
"Visible","Viditeľné"
"Visible on Catalog Pages on Front-end","Viditeľné na stránkach katalógu na Frontend-e"
"Visible on Product View Page on Front-end","Viditeľné na stránke produktov na Frontend-e"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Vodoznak"
"Watermark Default Size","Predvolená veľkosť vodoznaku"
"Watermark Opacity, Percent","Intenzita vodoznaku v percentách"
"Watermark Position","Pozícia vodoznaku"
"We Also Recommend","Doporučujeme"
"Website","Webové stránky"
"Websites","Webové stránky"
"What's this?","Čo je to?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Povoliť ukázať ""všetko"" v rozbalovacom menu ""Zobraziť X na stránku""."
"Wrong BuyRequest instance in options group.","Chybná BuyRequest inštancia v options group."
"Wrong configuration item instance in options group.","Chybná inštancia množsva položiek v skupine možností."
"Wrong configuration item option instance in options group.","Chybné množstvo položiek v skupine vlastností."
"Wrong option instance type in options group.","Chybný typ voľby v skupine možností."
"Wrong option type to get group instance.","Chybný typ možnosti pri získavaní inštancie skupiny."
"Wrong product instance type in options group.","Chybný typ inštancie produktu v skupine možností."
"Wrong product type filter specified","Zvolený chybný typ filtra produktu"
"Wrong product type to extract configurable options.","Chybný typ produktu pre získanie konfigurovateľných možností."
"Year Range","Rozsah rokov"
"Yes","Ano"
"You cannot remove system attribute from this set.","Nemôžete odstrániť systémovú vlastnosť z tejto skupiny."
"You have no items to compare.","Nevybrali ste položky pre porovanie."
"You may also be interested in the following product(s)","Možno Vas zaujme aj nasledujúci produkt"
"Zoom In","Přiblížiť"
"Zoom Out","Oddialiť"
"[GLOBAL]","[GLOBAL]"
"and","a"
"categories","Kategórie"
"each","každý"
"ex. http://domain.com","napríklad: http://domain.com"
"leave blank if its not an image","Nechajte prázdne ak to nie je obrázok"
"per page","na stránku"
"products","produkty"
"px.","px."
"save","ušetri"
"select all","Vybrať všetko"
"unselect all","Odznačit všetko"
"x","x"
"An error occurred while adding customers for the %s alert. Message: %s","Chyba pri pridávaní zákazníka pre %s. Správa: %s"
"#~ ""An error occurred while saving the collection, aborting. Error message: %s""","Chyba pri ukladaní kolekcie, prerušujem. Chyba: %s"
"Customers for alert %s were successfuly added to queue","Zákazníci pre správy %s boli úspešne pridaný do fronty"
"Email to %s was not sent.","Email pre %s nebol odoslaný."
"Invalid transactional email code.","Chybný kód transakčného emailu"
"New Category","Nová kategória"
"No layout updates.","Pohľad neaktualizovaný"
"Previous","Predchádzajúci"
"Skip import row, is not valid value ""%s"" for field ""%s""","Preskakujem import riadkov, neplatná hodnota ""%s"" pre pole ""%s"""
"Skip import row, the value ""%s"" is invalid for field ""%s""","Preskakujem import riadkov, hodnota ""%s"" je chybná pre pole ""%s"""
"#~ ""Skipping import row, required field ""%s"" for new products is not defined.""","#~ ""Preskočený import riadkov, požadované pole ""%s"" pre nový produkt nie je ""#~ ""definovaný."""
"Skipping import row, store ""%s"" field does not exist.","Preskakujem import riadok, obchod ""%s"" pole neexistuje."
"The email template is not specified by administrator.","Šablóna emailu nie je vybraná administrátorom."
"You cannot email this product to a friend.","Informácie o tomto produkte nemožno odoslať emailom."
"You cannot send more than %d emails at a time.","Nemôžete odoslať viac ako %d emailov v nastavenom časovom úseku."
"You have exceeded limit of %d sends in an hour.","Prekročili ste povolený limit posielania za hodinu (%d)."
"You have to specify at least one recipient.","Musíte vybrať aspoň jedného príjemcu."
"Choose product variant", "Zvoľte si odtieň produktu"
"There are no recurring profiles yet.", "Nemate žiadne opakujúce profily."
"My Applications", "Moje prihlášky"
"You have no applications.", "Nemate žiadne prihlášky."
"Product Details and Comment", "Detaily o tovare a komentár"
"VAT Number", "DIČ"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.", "%1$s pridaný do knihy prianí. Kliknite <a href=""%2$s"">sem</a> pre pokračovanie v nakupu."
"First Name","Meno"
"Description", "Popis"
