"%s is available for purchase in increments of %s only.","Tento produkt je možné zakúpiť len v prírastkoch po %s."
"%s is not a correct comparsion method.","%s nie sú platné porovnávacie metódy."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong> Majte na pamäti</strong>, že tieto nastavenia sú uplatniteľné na tovar v košíku, nie na celý košík."
"Add Minimum Qty","Pridať minimálne množstvo"
"Allow Qty Below 0","Povoliť množstvo menšie ako 0"
"Allow Qty Below 0 and Notify Customer","Povoliť množstvo menšie ako 0 a upozorniť zákazníka"
"Automatically Return Credit Memo Item to Stock","Automaticky vracať výrobky z dobropisov do skladu"
"Backorders","Spätné objednávky"
"By Fixed value","Podľa pevnej hodnoty"
"By Percentage","Podľa percent"
"Cannot specify product identifier for the order item.","Nemožno špecifikovať identifikátor výrobku pre danú položku objednávky."
"Catalog Inventory","Zásoby tovaru"
"Decrease Stock When Order is Placed","Znížiť stav zásob po vytvorení objednávky"
"Enable Qty Increments","Povoliť množstvo prírastkov"
"In Stock","Skladom"
"Index Product Stock Status","Stav indexov skladu"
"Inventory","Sklad"
"Inventory API","API skladu"
"Inventory Section","Sekcia zásob"
"Manage Stock","Spravovať sklad"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo dovolené v košíku"
"Minimum Qty","Minimálne množstvo"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo dovolené v košíku"
"No Backorders","Zakázať spätné objednávky"
"Not all products are available in the requested quantity","Nie všetky produkty sú k dispozícii v požadovanom množstve"
"Notify for Quantity Below","Upozorniť na množstvo menšie ako"
"Only X left Threshold","Only X left Threshold"
"Out of Stock","Dočasně vypredané"
"Product Stock Options","Možnosti skladu"
"Qty Increments","Množstvo prírastkov"
"Qty for Items' Status to Become Out of Stock","Minimálne množstvo pre stav ""Vypredané"""
"Retrieve stock data","Načítať dáta skladu"
"Retrieve stock data by product ids","Načítať dáta skladu podľa ID produktu"
"Rule price","Cenové pravidlo"
"Set Items' Status to be In Stock When Order is Cancelled","Nastaviť stav ""Na sklade"" ak je objednávka zrušená"
"Some of the products cannot be ordered in the requested quantity.","Niektorý z produktov nemôže byť objednaný v požadovanom množstve."
"Stock Options","Možnosti skladu"
"Stock Status","Stav skladu"
"The stock item for Product in option is not valid.","Skladová položka pre produkt s voľbou nie je platná."
"The stock item for Product is not valid.","Skladová položka pre produkt nie je platná."
"This product is available for purchase in increments of %s only.","Tento produkt je možné zakúpiť len v prírastkoch po %s."
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Percentuálne"
"Undefined product type.","Nedefinovaný typ produktu"
"Update","Aktualizovať"
"Update product stock data","Aktualizovať skladové dáta produktu"
"Update the Product","Aktualizovať produkt"
"Some of the products are currently out of stock","Niektorý z požadovaných produktov je momentálne vypredaný."
"Some of the products cannot be ordered in requested quantity.","Niektorý z produktov nemôže byť objednaný v požadovanom množstve."
"The maximum quantity allowed for purchase is %s.","Maximálne povolené množstvo na objednávku je %s."
"The minimum quantity allowed for purchase is %s.","Minimálne povolené množstvo na objednávku je %s."
"The requested quantity for ""%s"" is not available.","Požadované množstvo ""%s"" nie je dostupné."
"The requested quantity is not available.","Požadované množstvo nie je dostupné."
"This product is currently out of stock.","Tento produkt je momentálne vypredaný."
"This product is not available in the requested quantity. %s of the items will be backordered.","Tento produkt nie je dostupný v požadovanom množstve. %s ks bude v evidencií na došlej objednávke."

"""%s"" is not available in the requested quantity. %s of the items will be backordered.","Položka &quot;%s&quot; nie je skladom v požadovanom množstve. %s ks bude v evidenicii na došlej objednávke."
"Description", "Popis"